Product,Price
 MP3     Sony WS410 Walkman WS Series   ,  553  ₪
 Sony  WHULT900N      ,  579  ₪
  SONY WF1000XM5B Bluetooth       ,  959  ₪
  SONY WF1000XM5P Bluetooth       ,  959  ₪
  SONY WF1000XM5B Bluetooth       ,  959  ₪
   Sony WFC510 Truly Wireless TWS  ,  189  ₪
   Sony WFC510 Truly Wireless TWS  ,  189  ₪
   Sony WFC510 Truly Wireless TWS  ,  189  ₪
   Sony WFC510 Truly Wireless TWS  ,  189  ₪
  SONY WFC700NB Bluetooth       ,  279  ₪
  SONY WFC700NB Bluetooth       ,  279  ₪
  Sony WH1000XM4   Bluetooth  ,  849  ₪
  Sony WH1000XM4   Bluetooth  ,  849  ₪
  Sony WH1000XM4   Bluetooth  ,  849  ₪
  SONY ONEAR WH1000XM5S  BT35  ,  1239  ₪
  Sony WHCH520   Bluetooth  ,  159  ₪
  Sony WHCH520   Bluetooth  ,  159  ₪
  Sony WHCH520   Bluetooth  ,  159  ₪
  Sony WHCH520   Bluetooth  ,  159  ₪
 Sony  WHULT900N      Forest Gray,  579  ₪
 Sony  WHULT900N      ,  579  ₪
  Sony WH1000XM5   Bluetooth  ,  1239  ₪
  Sony WH1000XM5   Bluetooth  ,  1239  ₪
  Sony WH1000XM5   Bluetooth  ,  1239  ₪
 Sony MDREX15AP  ,  49  ₪
 Sony MDRZX110AP    ,  89  ₪
 Sony MDRZX110AP    ,  89  ₪
 Sony MDRZX110  ,  69  ₪
 Sony MDRZX110  ,  69  ₪
 Sony MDREX15AP  ,  49  ₪
 Sony MDREX15AP  ,  49  ₪
  Sony WIC100   Bluetooth  ,  179  ₪
  Sony WIC100   Bluetooth  ,  179  ₪
   Sony WHCH720N Wireless Noise Cancelling  ,  385  ₪
   Sony WHCH720N Wireless Noise Cancelling  ,  385  ₪
   Sony WHCH720N Wireless Noise Cancelling  ,  385  ₪
  Sony WIC100   Bluetooth  ,  179  ₪
  Sony PULSE Explore  ,  948  ₪
  Sony Pulse Elite  ,  645  ₪
  SONY WF1000XM5B Bluetooth       ,  995  ₪
 OnePlus Nord CE 4 Lite 5G 8256GB  Super Silver,  1399  ₪
 OnePlus Nord 4 5G 12GB RAM  256GB  Obsidian Midnight,  2099  ₪
 OnePlus Nord 4 5G 16GB RAM  512GB  Obsidian Midnight,  2479  ₪
 OnePlus Nord 4 5G 16GB RAM  512GB  Mercurial Silver,  2479  ₪
 OnePlus Nord 4 5G 16GB RAM  512GB  Oasis Green,  2479  ₪
  Xiaomi 14T 5G 12GB512GB  ,  2349  ₪
  Xiaomi 14T 5G 12GB512GB  ,  2349  ₪
  Xiaomi 14T 5G 12GB512GB  ,  2349  ₪
   Sony ULT Field 1  ,  385  ₪
   Sony ULT Field 1  ,  385  ₪
   Sony ULT Field 1  ,  385  ₪
   Sony ULT Field 1  ,  385  ₪
   Sony PlayStation VR2   ,  2513  ₪
  SONY SRSXV500 BT  ,  979  ₪
    Sony DualSense PlayStation 5 PS5,  99  ₪
    5 Sony PS5 Media Remote,  133  ₪
  5 PlayStation  Bluray Edition 1TB PS5 SLIM,  2309  ₪
 Sony PlayStation 5 Digital Edition 1TB PS5 SLIM    2023,  1909  ₪
  5 PlayStation  Bluray Edition 1TB PS5 SLIM  2  ,  2584  ₪
 Sony PlayStation 5 Pro   ,  3299  ₪
